"Sr. No","Module Name","Sub-Module Name","Access","Functional Purpose","Base URL","Endpoint / Path","HTTP Method","Request Parameters","Request Body","Example Request Payload","Request Body Schema","Response (example/200)","Example Response Payload","Dependent APIs / Services","Owner / Developer","API Identifier","Comments"
"11","Attendance Policy Master","Delete Policy By Id","private","Delete Policy By Id","{{baseURL}}","/api/attendancepolicy/2","DELETE","headers: Authorization=Bearer {{authToken}}","","","","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","delete|/api/attendancepolicy/2|attendance policy master|delete policy by id","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"12","Attendance Policy Master","Activate Deactivate","private","Activate Deactivate","{{baseURL}}","/api/attendancepolicy/4/status","PATCH","query: action=ACTIVATE | headers: Authorization=Bearer {{authToken}}","","","","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","patch|/api/attendancepolicy/4/status|attendance policy master|activate deactivate","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"13","Attendance Shift Master","Create New Shift","private","Create New Shift","{{baseURL}}","/api/v1/attendance/shift/master","POST","headers: Authorization=Bearer {{authToken}}","{
  ""shiftCode"": ""SHF-MIDNIGHT-001"",
  ""shiftName"": ""MidNight Shift - Standard"",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""DEFAULT"",
  ""startTime"": ""09:00:00"",
  ""endTime"": ""18:00:00"",
  ""graceMinutes"": 15,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Dec-2026"",
  ""isDeleted"": ""N"",
  ""description"":""xyz"",
  ""remarks"": ""Standard morning shift for all employees"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Lunch Break"",
      ""breakDurationMinutes"": 60,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Tea Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Evening Tea"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": null
}","{
  ""shiftCode"": ""SHF-MIDNIGHT-001"",
  ""shiftName"": ""MidNight Shift - Standard"",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""DEFAULT"",
  ""startTime"": ""09:00:00"",
  ""endTime"": ""18:00:00"",
  ""graceMinutes"": 15,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Dec-2026"",
  ""isDeleted"": ""N"",
  ""description"": ""xyz"",
  ""remarks"": ""Standard morning shift for all employees"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Lunch Break"",
      ""breakDurationMinutes"": 60,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Tea Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Evening Tea"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": null
}","{""shiftCode"":""string"",""shiftName"":""string"",""shiftType"":""string"",""applicabilityType"":""string"",""startTime"":""string"",""endTime"":""string"",""graceMinutes"":""number"",""requiredDurationHours"":""null"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""isDeleted"":""string"",""description"":""string"",""remarks"":""string"",""breakConfigs"":[{""breakName"":""string"",""breakDurationMinutes"":""number"",""paidFlag"":""boolean""}],""applicableEmpIds"":""null""}","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","post|/api/v1/attendance/shift/master|attendance shift master|create new shift","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"14","Attendance Shift Master","Create CUSTOM Shift (FIXED Type)","private","Create CUSTOM Shift (FIXED Type)","{{baseURL}}","/api/v1/attendance/shift/master","POST","headers: Authorization=Bearer {{authToken}}","{
  ""shiftCode"": ""SHF-NIGHT-005"",
  ""shiftName"": ""   Night Shift -Tech Support Team "",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""CUSTOM"",
  ""startTime"": ""22:00:00"",
  ""endTime"": ""06:00:00"",
  ""graceMinutes"": 10,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Mar-2027"",
  ""activeFlag"": true,
  ""remarks"": ""Night shift for global support team (cross-midnight)"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Dinner Break"",
      ""breakDurationMinutes"": 45,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Tea Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Refreshment Break"",
      ""breakDurationMinutes"": 10,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": [3496,3500]
}","{
  ""shiftCode"": ""SHF-NIGHT-005"",
  ""shiftName"": ""   Night Shift -Tech Support Team "",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""CUSTOM"",
  ""startTime"": ""22:00:00"",
  ""endTime"": ""06:00:00"",
  ""graceMinutes"": 10,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Mar-2027"",
  ""activeFlag"": true,
  ""remarks"": ""Night shift for global support team (cross-midnight)"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Dinner Break"",
      ""breakDurationMinutes"": 45,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Tea Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Refreshment Break"",
      ""breakDurationMinutes"": 10,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": [
    3496,
    3500
  ]
}","{""shiftCode"":""string"",""shiftName"":""string"",""shiftType"":""string"",""applicabilityType"":""string"",""startTime"":""string"",""endTime"":""string"",""graceMinutes"":""number"",""requiredDurationHours"":""null"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""activeFlag"":""boolean"",""remarks"":""string"",""breakConfigs"":[{""breakName"":""string"",""breakDurationMinutes"":""number"",""paidFlag"":""boolean""}],""applicableEmpIds"":[""number""]}","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","post|/api/v1/attendance/shift/master|attendance shift master|create custom shift (fixed type)","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"15","Attendance Shift Master","Update Shift","private","Update Shift","{{baseURL}}","/api/v1/attendance/shift/master/2","PUT","headers: Authorization=Bearer {{authToken}}","{
  ""shiftName"": ""Night Shift -Techno Support Team"",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""DEFAULT"",
  ""startTime"": ""22:00:00"",
  ""endTime"": ""06:00:00"",
  ""graceMinutes"": 10,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Mar-2027"",
  ""activeFlag"": true,
  ""description"":""xyz"",
  ""remarks"": ""Night shift for global support team (cross-midnight)"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Dinner Break"",
      ""breakDurationMinutes"": 45,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Shortscut Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Refreshment Break"",
      ""breakDurationMinutes"": 10,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": [3496,3500]
}","{
  ""shiftName"": ""Night Shift -Techno Support Team"",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""DEFAULT"",
  ""startTime"": ""22:00:00"",
  ""endTime"": ""06:00:00"",
  ""graceMinutes"": 10,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Mar-2027"",
  ""activeFlag"": true,
  ""description"": ""xyz"",
  ""remarks"": ""Night shift for global support team (cross-midnight)"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Dinner Break"",
      ""breakDurationMinutes"": 45,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Shortscut Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Refreshment Break"",
      ""breakDurationMinutes"": 10,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": [
    3496,
    3500
  ]
}","{""shiftName"":""string"",""shiftType"":""string"",""applicabilityType"":""string"",""startTime"":""string"",""endTime"":""string"",""graceMinutes"":""number"",""requiredDurationHours"":""null"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""activeFlag"":""boolean"",""description"":""string"",""remarks"":""string"",""breakConfigs"":[{""breakName"":""string"",""breakDurationMinutes"":""number"",""paidFlag"":""boolean""}],""applicableEmpIds"":[""number""]}","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","put|/api/v1/attendance/shift/master/2|attendance shift master|update shift","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"16","Attendance Shift Master","Get By Id","private","Get By Id","{{baseURL}}","/api/v1/attendance/shift/master/7","GET","headers: Authorization=Bearer {{authToken}}","","","","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/v1/attendance/shift/master/7|attendance shift master|get by id","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"17","Attendance Shift Master","Delete Shift","private","Delete Shift","{{baseURL}}","/api/v1/attendance/shift/master/6","DELETE","headers: Authorization=Bearer {{authToken}}","{
  ""shiftCode"": ""SHF-NIGHT-0002"",
  ""shiftName"": ""Night Shift -Techno Support Team"",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""DEFAULT"",
  ""startTime"": ""22:00:00"",
  ""endTime"": ""06:00:00"",
  ""graceMinutes"": 10,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Mar-2027"",
  ""activeFlag"": true,
  ""remarks"": ""Night shift for global support team (cross-midnight)"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Dinner Break"",
      ""breakDurationMinutes"": 45,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Shortscut Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Refreshment Break"",
      ""breakDurationMinutes"": 10,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": [3496,3500]
}","{
  ""shiftCode"": ""SHF-NIGHT-0002"",
  ""shiftName"": ""Night Shift -Techno Support Team"",
  ""shiftType"": ""FIXED"",
  ""applicabilityType"": ""DEFAULT"",
  ""startTime"": ""22:00:00"",
  ""endTime"": ""06:00:00"",
  ""graceMinutes"": 10,
  ""requiredDurationHours"": null,
  ""effectiveFrom"": ""01-Aug-2026"",
  ""effectiveTo"": ""31-Mar-2027"",
  ""activeFlag"": true,
  ""remarks"": ""Night shift for global support team (cross-midnight)"",
  ""breakConfigs"": [
    {
      ""breakName"": ""Dinner Break"",
      ""breakDurationMinutes"": 45,
      ""paidFlag"": false
    },
    {
      ""breakName"": ""Shortscut Break"",
      ""breakDurationMinutes"": 15,
      ""paidFlag"": true
    },
    {
      ""breakName"": ""Refreshment Break"",
      ""breakDurationMinutes"": 10,
      ""paidFlag"": true
    }
  ],
  ""applicableEmpIds"": [
    3496,
    3500
  ]
}","{""shiftCode"":""string"",""shiftName"":""string"",""shiftType"":""string"",""applicabilityType"":""string"",""startTime"":""string"",""endTime"":""string"",""graceMinutes"":""number"",""requiredDurationHours"":""null"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""activeFlag"":""boolean"",""remarks"":""string"",""breakConfigs"":[{""breakName"":""string"",""breakDurationMinutes"":""number"",""paidFlag"":""boolean""}],""applicableEmpIds"":[""number""]}","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","delete|/api/v1/attendance/shift/master/6|attendance shift master|delete shift","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"18","Attendance Shift Master","Toggle Delete","private","Toggle Delete","{{baseURL}}","/api/v1/attendance/shift/master/status/7","PATCH","query: action=DEACTIVATE | headers: Authorization=Bearer {{authToken}}","","","","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","patch|/api/v1/attendance/shift/master/status/7|attendance shift master|toggle delete","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"19","Attendance Shift Master","Get All Shifts","private","Get All Shifts","{{baseURL}}","/api/v1/attendance/shift/master","GET","query: page=0; includeDeleted=true | headers: Authorization=Bearer {{authToken}}","","","","","","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/v1/attendance/shift/master|attendance shift master|get all shifts","Source: collections/Attendance_Management_API.json; No saved response example in source file"
"20","Attendance Status Threshold API","Create Threshold","private","Create Threshold","{{baseUrl}}","/api/attendance/status-threshold/create","POST","headers: Authorization=Bearer {{token}}; Content-Type=application/json","{
  ""thresholdCode"": ""CUST_STD_0001"",
  ""thresholdName"": ""Standard Custom Thresholdsl"",
  ""description"": ""Custom threshold for flexible shift employees"",
  ""templateMode"": ""CUSTOM"",
  ""shiftTypeApplicability"": ""ALL"",
  ""absentMaxHours"": 3.00,
  ""halfDayMinHours"": 3.01,
  ""fullDayMinHours"": 5.00,
  ""presentMinHours"": 8.00,
  ""effectiveFrom"": ""2026-08-01"",
  ""effectiveTo"": ""2026-12-31"",
  ""isDefault"": ""N"",
  ""isActive"": ""Y"",
  ""templateStatus"": ""PUBLISHED"",
  ""remarks"": ""Applicable for flexible shift employees only"",
  ""assignments"": [
    {
      ""employeeId"": 41,
      ""departmentId"": 1,
      ""designationId"": 5,
      ""isActive"": ""N"",
      ""effectiveFrom"": ""2026-08-01"",
      ""effectiveTo"": ""2026-12-31""
    },
    {
      ""employeeId"": 550,
      ""departmentId"": 1,
      ""designationId"": 6,
      ""isActive"": ""Y"",
      ""effectiveFrom"": ""2026-08-01"",
      ""effectiveTo"": ""2026-08-01""
    }
  ]
}","{
  ""thresholdCode"": ""CUST_STD_0001"",
  ""thresholdName"": ""Standard Custom Thresholdsl"",
  ""description"": ""Custom threshold for flexible shift employees"",
  ""templateMode"": ""CUSTOM"",
  ""shiftTypeApplicability"": ""ALL"",
  ""absentMaxHours"": 3,
  ""halfDayMinHours"": 3.01,
  ""fullDayMinHours"": 5,
  ""presentMinHours"": 8,
  ""effectiveFrom"": ""2026-08-01"",
  ""effectiveTo"": ""2026-12-31"",
  ""isDefault"": ""N"",
  ""isActive"": ""Y"",
  ""templateStatus"": ""PUBLISHED"",
  ""remarks"": ""Applicable for flexible shift employees only"",
  ""assignments"": [
    {
      ""employeeId"": 41,
      ""departmentId"": 1,
      ""designationId"": 5,
      ""isActive"": ""N"",
      ""effectiveFrom"": ""2026-08-01"",
      ""effectiveTo"": ""2026-12-31""
    },
    {
      ""employeeId"": 550,
      ""departmentId"": 1,
      ""designationId"": 6,
      ""isActive"": ""Y"",
      ""effectiveFrom"": ""2026-08-01"",
      ""effectiveTo"": ""2026-08-01""
    }
  ]
}","{""thresholdCode"":""string"",""thresholdName"":""string"",""description"":""string"",""templateMode"":""string"",""shiftTypeApplicability"":""string"",""absentMaxHours"":""number"",""halfDayMinHours"":""number"",""fullDayMinHours"":""number"",""presentMinHours"":""number"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""isDefault"":""string"",""isActive"":""string"",""templateStatus"":""string"",""remarks"":""string"",""assignments"":[{""employeeId"":""number"",""departmentId"":""number"",""designationId"":""number"",""isActive"":""string"",""effectiveFrom"":""string"",""effectiveTo"":""string""}]}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","post|/api/attendance/status-threshold/create|attendance status threshold api|create threshold","Source: collections/Attendance_Threshold_API.json; No saved response example in source file"
"21","Attendance Status Threshold API","Update Threshold","private","Update Threshold","{{baseUrl}}","/api/attendance/status-threshold/update/1","PUT","headers: Authorization=Bearer {{token}}; Content-Type=application/json","{
  ""thresholdCode"": ""TH001"",
  ""thresholdName"": ""Updated Threshold"",
  ""description"": ""Updated Description"",
  ""templateMode"": ""DEFAULT"",
  ""shiftTypeApplicability"": ""ALL"",
  ""absentMaxHours"": 3.00,
  ""halfDayMinHours"": 3.01,
  ""fullDayMinHours"": 5.01,
  ""presentMinHours"": 5.02,
  ""effectiveFrom"": ""2027-01-01"",
  ""effectiveTo"": null,
  ""isDefault"": ""Y"",
  ""isActive"": ""Y"",
  ""templateStatus"": ""DRAFT"",
  ""remarks"": ""Updated"",
  ""assignments"": []
}","{
  ""thresholdCode"": ""TH001"",
  ""thresholdName"": ""Updated Threshold"",
  ""description"": ""Updated Description"",
  ""templateMode"": ""DEFAULT"",
  ""shiftTypeApplicability"": ""ALL"",
  ""absentMaxHours"": 3,
  ""halfDayMinHours"": 3.01,
  ""fullDayMinHours"": 5.01,
  ""presentMinHours"": 5.02,
  ""effectiveFrom"": ""2027-01-01"",
  ""effectiveTo"": null,
  ""isDefault"": ""Y"",
  ""isActive"": ""Y"",
  ""templateStatus"": ""DRAFT"",
  ""remarks"": ""Updated"",
  ""assignments"": []
}","{""thresholdCode"":""string"",""thresholdName"":""string"",""description"":""string"",""templateMode"":""string"",""shiftTypeApplicability"":""string"",""absentMaxHours"":""number"",""halfDayMinHours"":""number"",""fullDayMinHours"":""number"",""presentMinHours"":""number"",""effectiveFrom"":""string"",""effectiveTo"":""null"",""isDefault"":""string"",""isActive"":""string"",""templateStatus"":""string"",""remarks"":""string"",""assignments"":[]}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","put|/api/attendance/status-threshold/update/1|attendance status threshold api|update threshold","Source: collections/Attendance_Threshold_API.json; No saved response example in source file"
"22","Attendance Status Threshold API","Get By Id","private","Get By Id","{{baseUrl}}","/api/attendance/status-threshold/getById/8","GET","headers: Authorization=Bearer {{token}}","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/status-threshold/getbyid/8|attendance status threshold api|get by id","Source: collections/Attendance_Threshold_API.json; No saved response example in source file"
"23","Attendance Status Threshold API","Get All","private","Get All","{{baseUrl}}","/api/attendance/status-threshold/getAll","GET","query: page=0; size=10; sort=thresholdName,asc | headers: Authorization=Bearer {{token}}","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/status-threshold/getall|attendance status threshold api|get all","Source: collections/Attendance_Threshold_API.json; No saved response example in source file"
"24","Attendance Status Threshold API","Delete Threshold","private","Delete Threshold","{{baseUrl}}","/api/attendance/status-thresholds/delete/1","DELETE","headers: Authorization=Bearer {{token}}","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","delete|/api/attendance/status-thresholds/delete/1|attendance status threshold api|delete threshold","Source: collections/Attendance_Threshold_API.json; No saved response example in source file"
"25","Attendance Status Threshold API","Change Status","private","Change Status","{{baseUrl}}","/api/attendance/status-threshold/1/status","PATCH","headers: Authorization=Bearer {{token}}; Content-Type=application/json","{
  ""isActive"": ""Y""
}","{
  ""isActive"": ""Y""
}","{""isActive"":""string""}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","patch|/api/attendance/status-threshold/1/status|attendance status threshold api|change status","Source: collections/Attendance_Threshold_API.json; No saved response example in source file"
